Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD
area	1460	5.80	1.52	3.71	2.23	6.00	1.75
arena	1461	6.80	1.7	6.93	1.71	5.67	2.44
argue	1462	3.07	1.49	6.40	2.47	5.53	2.56
arm	642	5.50	1.79	4.40	2.74	5.05	2.01
army	23	4.90	1.52	4.65	2.01	5.20	2.38
aroma	1463	6.50	2.04	5.65	2.48	5.65	1.53
arouse	1464	7.73	1.1	7.27	2.09	6.40	2.5
aroused	24	8.00	1.15	6.22	3.07	6.10	2.69
arrogant	25	4.69	2.8	5.12	2.74	5.88	2.53
arrow	1465	5.60	1.64	5.67	2.02	5.40	1.68
arson	1466	3.07	2.53	6.77	2.77	4.23	2.8
art	643	5.70	2.36	4.60	2.6	4.75	2.49
artist	1467	5.87	2.17	4.67	2.29	5.87	1.51
ash	1468	4.12	1.86	4.19	2.17	4.94	1.73
asphalt	1469	5.20	1.37	4.07	2.25	5.60	2.1
aspire	1470	6.73	1.98	5.80	2.01	7.07	1.33
ass	1471	6.94	1.39	6.50	2.34	5.69	1.99
assassin	26	4.33	2.19	5.73	2.74	4.86	2.57
assault	27	2.55	1.86	7.17	2.25	5.73	2.65
assume	1472	5.07	1.33	4.86	0.77	4.64	1.91
assure	1473	6.20	0.94	4.47	2.26	6.13	1.73
astonished	28	6.50	1.55	6.44	2.34	5.18	1.94
astronaut	501	6.79	1.64	4.92	2.1	5.33	1.83
athlete	1474	7.00	2.15	6.62	2.47	7.00	1.78
athletics	644	6.76	2.05	6.71	2.08	6.19	1.99
atlas	1475	5.75	1.44	4.50	2.16	5.44	1.21
atom	1476	5.13	1.36	4.20	2.11	4.27	1.28
attack	1477	3.19	1.94	6.56	2.31	4.38	2.7
attain	1478	6.13	1.25	5.13	2.07	5.67	1.5
attend	1479	6.07	1	4.29	1.68	5.46	0.78
aunt	1480	6.07	2.06	4.86	1.79	5.36	1.08
auto	1481	6.86	1.7	5.15	1.86	5.08	2.22
autumn	29	5.93	1.83	4.87	2.45	4.93	1.62
avalanche	645	3.62	2.16	5.29	2.22	4.00	1.9
avenge	1482	4.94	1.44	6.06	2.08	6.56	1.5
avenue	646	5.15	1.23	4.40	1.85	5.05	1.57
avert	1483	5.21	1.42	4.57	2.24	5.29	1.77
avoid	1484	3.62	1.2	4.75	2.29	4.25	2.11
await	1485	4.93	2.02	3.60	2.64	3.73	2.4
awaken	1486	4.53	1.92	4.73	2.12	4.47	1.96
award	1487	7.93	1.27	6.79	2.04	6.86	1.99
awe	1488	6.40	1.45	5.73	1.62	4.53	2
awed	30	6.35	1.5	6.05	2.16	4.75	2.27
awful	1489	2.36	1.39	5.71	2.23	3.86	2.32
awkward	1490	3.27	1.75	6.13	1.51	2.93	1.64
awning	1491	5.00	1.63	4.12	1.36	5.62	1.45
baby	31	7.71	1.49	6.25	2.49	4.56	2.94
backyard	1492	6.43	2.03	4.93	2.16	5.36	1.74
bacon	1493	6.79	2.33	5.93	2.64	5.86	2.8
bad	1494	2.50	1.34	5.86	1.61	4.43	1.91
badge	1495	5.07	1.71	5.00	2.1	4.47	1.96
baffle	1496	4.36	1.55	5.43	1.99	3.92	1.71
bake	647	6.32	1.25	4.70	2.54	5.22	1.63
balcony	1497	5.00	1.84	4.36	2.17	4.71	1.59
bald	1498	3.27	1.33	4.47	2.7	3.60	2.2
ballet	1499	4.56	1.9	3.19	2.04	5.69	1.58
balloons	1500	6.67	1.84	5.40	1.68	6.00	1.2
ban	1501	3.29	1.59	5.43	1.83	4.29	2.52
banana	1502	6.40	2.16	5.33	2.38	5.87	1.64
band	1503	6.71	1.73	6.36	1.55	5.86	2.07
bandage	648	4.00	1.81	3.80	1.77	4.30	1.98
banish	1504	3.13	1.41	5.53	3.16	3.27	2.31
bankrupt	32	2.24	1.52	5.71	2.82	2.94	2.43
banner	649	5.35	0.67	3.65	1.73	4.80	1.77
bar	650	7.00	2.08	5.50	2.7	5.85	2.21
bargain	1505	6.87	1.36	5.67	1.91	6.67	1.4
bark	1506	3.69	1.89	6.25	2.6	4.08	2.5
barn	1507	5.87	2.17	3.71	2.2	6.21	1.67
barrel	651	5.30	1.66	3.75	2.71	4.90	2.1
basement	1508	4.86	1.75	4.43	2.68	4.93	2.2
basin	1509	5.00	0.37	3.56	1.82	4.62	1.15
basis	1510	4.81	0.54	3.44	1.82	5.25	1.39
basket	547	5.60	1.22	3.36	2.04	5.92	1.29
basketball	1511	6.38	2.36	6.48	2.04	5.62	2.16
bastard	33	3.20	2.11	6.38	2.5	4.50	2.18
batch	1512	6.21	1.48	4.85	1.91	6.00	1.83
bath	502	7.24	1.36	4.76	1.85	5.72	1.49
bathe	1513	7.20	1.37	4.40	2.47	6.13	1.51
bathroom	548	5.92	1.38	3.84	1.89	5.72	1.7
bathtub	652	6.64	1.68	5.36	2.26	5.73	1.88
baton	1514	5.38	1.63	4.94	2.05	5.44	1.63
battleship	1515	5.71	2.33	6.07	2.16	4.07	2.27
bawl	1516	3.44	1.75	5.25	1.95	4.19	1.42
beach	34	8.47	0.87	6.88	2.19	5.81	2.56
beads	1517	5.27	1.1	3.40	2.41	4.53	1.6
bean	1518	5.87	2.23	4.00	2.29	6.21	1.85
bear	1519	5.12	1.93	6.44	2.66	4.06	2.54
beard	1520	5.93	2.34	4.40	1.84	6.47	1.51
beast	653	5.10	2.51	6.00	2.29	5.65	2.39
beautiful	654	7.23	2	6.36	2.46	6.10	1.61
beauty	35	7.47	1.13	5.60	2.16	5.33	1.5
bed	549	7.88	1.09	4.04	2.85	7.00	1.87
bedspread	1521	5.81	1.64	4.62	1.96	5.81	1.28
beer	1522	6.69	1.93	5.15	2.48	5.62	2.36
bees	583	3.24	2.07	6.72	2.3	4.56	2.31
beet	1523	4.06	1.77	4.75	2.46	4.56	1.26
beg	1524	2.85	2.03	4.50	2.07	3.17	1.34
beggar	36	3.95	2.04	4.00	1.92	4.60	2.19
beginning	1525	5.88	1.78	4.81	1.64	6.44	1.75
behave	1526	5.20	2.27	3.67	2.35	4.73	2.37
belief	1527	6.53	1.51	4.93	2.58	5.73	1.87
bell	1528	5.56	1.09	5.31	1.08	5.19	1.33
belly	1529	5.31	1.74	4.12	2.33	5.19	2.14
belong	1530	5.94	1.65	5.31	2.02	5.75	1.69
bench	655	4.56	1.34	3.33	1.78	5.06	1.59
benefit	1531	6.20	1.97	5.47	1.92	5.93	2.15
berate	1532	4.07	1.94	5.50	2.1	3.93	2.06
bereavement	656	4.63	1.54	4.26	2.16	3.95	1.72
betray	37	1.85	1.14	7.17	2.08	5.75	1.91
beverage	657	6.80	1.54	5.55	2.37	5.80	2.04
beware	1533	4.07	1.54	6.79	1.42	4.29	2.52
bib	1534	5.06	1.98	4.25	1.98	4.62	1.96
bible	1535	5.00	2.14	4.40	3.07	4.47	2.03
bicker	1536	3.62	1.26	5.44	2.28	4.69	1.58
bicyclist	1537	5.50	0.97	5.38	1.45	5.44	1.41
bikini	1538	7.47	2	7.07	1.67	5.93	1.79
binge	1539	3.80	1.82	5.20	1.97	4.93	2.4
binoculars	1540	6.21	1.81	5.15	1.28	6.38	2.18
bird	38	6.92	1.38	2.67	2.02	4.58	2.47
birth	1541	7.19	1.6	6.12	2.73	5.00	1.83
birthday	39	7.40	2.82	6.60	2.13	5.40	2.64
bitch	1542	3.62	1.89	6.12	2.68	4.81	2.07
black	543	5.92	1.38	4.54	2.21	5.88	1.57
blackmail	40	3.00	1.56	5.20	2.78	3.00	2.26
blade	1543	5.75	1.13	6.12	1.71	5.75	1.34
blame	1544	2.93	1.54	4.50	2.03	3.79	1.72
bland	658	4.10	1.02	3.45	2.19	4.95	1.23
blanket	1545	6.56	1.26	3.25	1.84	6.12	1.67
blase	41	5.00	1.32	4.35	1.69	4.38	1.93
blasphemy	659	3.65	2.11	4.55	2.37	4.75	1.83
bleed	1546	3.47	1.55	6.14	2.03	4.36	2.27
bless	42	6.35	2.18	4.12	2.29	5.29	2.05
blight	1547	4.00	1.92	5.38	1.6	4.29	1.52
blind	43	2.71	1.83	3.69	2.18	3.06	1.91
bliss	660	7.17	1.79	5.06	3.06	6.50	2.23
blister	661	3.48	1.91	3.81	2.11	4.38	1.99
blob	1548	5.33	2.55	5.27	2.28	6.07	1.69
blond	662	6.64	2.44	6.05	2.79	6.00	2.05
blonde	1549	6.20	1.52	4.40	2.44	4.47	2.29
blood	1550	3.80	1.66	6.13	2.5	4.20	2.24
bloody	584	3.76	2.3	6.32	2.36	4.32	1.91
bloom	1551	7.21	1.42	5.38	1.98	5.46	2.07
blossom	44	7.53	1.41	5.67	3.02	5.53	2.29
blouse	1552	5.47	0.99	4.07	2.28	4.00	1.89
blowdryer	1553	4.67	1.11	3.93	1.79	4.87	1.55
blubber	663	3.83	2.09	4.56	2.15	4.50	1.92
blue	544	7.16	1.52	4.00	2.08	5.92	1.38
blues	1554	4.60	1.72	3.60	1.99	4.53	2.23
blurt	1555	4.71	1.2	5.46	1.98	4.92	1.98
board	664	4.58	1.22	3.26	1.94	4.63	2.01
boat	1556	8.00	1.11	5.71	3.27	6.29	2.4
body	665	5.75	2.47	5.60	2.78	5.25	2.22
bold	45	6.25	1.71	4.75	2.53	6.92	1.38
bolt	1557	5.60	1.5	5.80	1.93	5.47	2.1
bomb	46	2.70	1.16	6.70	2.41	4.60	1.35
bone	1558	4.86	0.86	4.14	2.38	4.57	1.74
bonus	1559	7.80	2.21	6.73	2.66	6.33	2.47
book	47	5.90	1.83	4.15	2.3	5.15	1.84
boom	1560	5.53	1.55	7.00	1.69	5.00	2.54
boost	1561	6.20	2.08	5.27	2.76	5.67	1.54
booth	1562	5.27	0.59	4.27	1.98	5.87	1.46
boots	1563	5.50	1.37	4.50	1.46	5.69	1.62
bored	48	2.82	1.47	2.88	2.28	4.06	1.48
boring	1564	3.94	2.21	2.94	2.43	4.75	1.84
bothered	1565	3.27	1.67	6.07	2.02	4.00	2.39
bottle	666	6.09	1.54	5.45	1.9	4.68	1.78
bounty	1566	4.79	1.63	6.50	1.74	4.79	1.97
bouquet	667	6.52	1.99	5.10	2.41	6.24	1.41
bowl	49	4.80	0.63	3.40	2.12	5.00	1.56
boxer	585	6.12	1.51	5.20	2.25	5.48	1.9
boy	50	5.40	0.74	3.73	2.09	4.33	2.02
boyfriend	1567	4.20	1.93	4.93	2.81	4.36	2.79
bracelet	1568	5.38	1.5	4.62	1.78	5.06	0.57
braces	1569	3.33	1.63	5.33	1.4	4.47	2.36
brain	1570	6.67	1.54	5.13	2.17	6.07	1.71
brave	668	6.76	2.02	5.95	2.6	7.14	1.9
break	1571	4.75	1.65	4.88	1.93	5.75	1.39
breast	51	8.13	1.3	6.80	2.21	6.07	2.22
breath	1572	5.86	1.41	4.79	2.61	5.71	1.98
breathless	1573	4.13	2.13	5.87	1.85	4.07	2.09
breeze	669	6.52	1.97	4.29	2.15	5.57	1.63
bribe	1574	4.75	2.02	5.88	1.45	5.19	1.91
brick	1575	4.86	1.99	4.29	2.33	5.29	1.68
bride	670	6.70	1.92	4.70	2.56	5.84	2.14
bridge	1576	5.56	1.46	4.94	1.69	5.06	1.84
bright	671	7.05	1.61	5.45	2.21	6.15	1.14
broken	672	3.50	2.26	5.39	2.45	4.17	1.98
brood	1577	4.36	1.6	4.29	1.68	5.31	1.49
broom	1578	4.60	0.83	2.93	1.94	5.47	1.25
broth	1579	5.27	1.1	4.53	1.6	5.33	1.84
brother	52	6.83	1.53	5.55	2.07	5.36	1.36
brow	1580	5.31	0.63	4.15	1.68	5.77	1.59
brownie	1581	7.15	1.86	5.69	2.18	6.77	1.79
bruise	1582	3.64	1.22	5.43	1.34	5.43	1.79
brutal	53	3.25	1.94	5.65	2.6	5.20	2.09
bucket	1583	5.47	1.36	4.73	1.79	5.93	1.53
buffalo	1584	6.36	1.5	4.86	2.54	4.36	1.91
bug	1585	4.07	2.12	5.13	2.47	4.67	1.59
bugle	1586	5.67	1.23	4.87	1.25	5.27	0.8
building	550	5.56	1.23	4.08	2.12	5.24	1.54
bulb	1587	5.06	1.12	4.62	1.63	4.75	0.77
bulge	1588	4.06	1.53	4.75	2.7	4.88	1.59
bullet	673	4.20	1.96	5.45	1.99	5.20	2.4
bumble	1589	5.21	1.37	4.93	1.59	5.14	1.17
bunny	54	6.71	1.05	4.38	2.6	4.88	2.06
burdened	55	2.71	0.91	5.46	2.26	5.62	2.14
burglar	1590	3.12	1.45	6.38	1.93	4.00	2.28
burial	56	2.62	1.85	4.64	2.56	3.92	1.98
burn	586	3.12	1.99	6.40	1.85	4.52	1.98
bury	1591	3.81	1.22	5.38	1.26	4.00	1.41
bus	541	4.72	1.28	3.32	1.99	5.04	1.93
bustle	1592	4.79	1.72	5.29	1.07	5.29	1.44
busy	1593	4.07	1.91	4.47	2	4.60	1.88
busybody	674	4.81	1.21	4.29	1.93	4.57	1.6
butler	1594	5.86	1.51	4.21	2.29	6.07	2.16
butt	1595	6.53	1.85	6.07	2.4	6.13	1.77
butter	57	5.40	0.97	3.30	1.77	4.50	1.08
butterfly	58	6.58	1	3.45	2.02	4.55	2.3
button	1596	4.85	1.21	3.77	2.49	5.38	2.14
cab	1597	4.67	0.9	3.47	1.68	5.13	2.1
cabinet	675	5.10	0.31	3.45	1.7	4.70	1.81
cake	59	7.27	1.16	5.13	2.26	5.20	2.14
calf	1598	5.24	1.95	5.00	2	6.10	1.58
calm	1599	6.40	1.64	3.53	2.33	6.40	1.84
camel	1600	5.69	1.4	4.50	1.86	4.88	1.75
campus	1601	6.00	1.32	4.75	1.91	5.44	1.21
cancel	1602	3.87	1.13	4.60	2.06	4.47	2.03
cancer	60	1.75	0.97	6.83	2.37	3.33	3.06
candlestick	1603	5.13	1.68	4.07	2.12	4.67	1.18
candy	61	6.00	1.34	4.10	2.27	5.00	1.84
cane	677	3.58	1.95	4.42	1.87	4.47	2.17
cannon	678	5.71	2.39	5.14	2.85	5.48	2.4
canoe	1604	5.93	1.82	5.00	2.51	5.86	1.96
canyon	1605	6.07	1.53	5.27	2.99	3.80	2.14
capability	1606	6.75	1.53	4.69	2.39	6.00	1.67
capable	62	7.00	1.31	5.60	1.68	5.73	1.98
cape	1607	6.47	1.19	5.40	1.59	6.27	1.16
car	551	7.84	1.28	5.64	2.16	6.60	2.1
carcass	679	4.21	1.81	5.11	1.79	5.53	1.65
card	1608	5.75	1.18	4.12	2.36	5.75	1.48
care	1609	7.19	1.11	5.94	1.81	5.94	1.88
carefree	63	7.75	1.36	2.67	2.42	5.33	2.71
caress	64	7.58	1.31	4.50	3.32	6.08	1.93
caring	1610	6.00	2	4.20	2.54	5.67	2.16
carnival	1611	6.13	1.96	5.53	2.36	5.20	1.86
carpet	1612	5.13	0.52	4.33	1.45	5.00	0
carrot	1613	5.50	1.32	4.06	2.02	5.81	1.68
cartoon	1614	7.06	1.44	5.38	2.28	5.94	1.91
carve	1615	5.21	1.25	5.14	1.56	5.14	1.56
