Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD
arm	642	5.21	1.86	2.92	1.89	5.08	0.97
army	23	4.55	1.99	5.42	2.04	4.85	2.58
aroma	1463	8.00	1.03	4.62	2.75	5.31	2.02
arouse	1464	7.21	1.53	6.64	2.27	5.79	1.72
aroused	24	7.96	0.96	6.77	2.61	6.15	1.69
arrogant	25	2.90	1.71	6.10	1.62	4.55	2.76
arrow	1465	4.73	1.62	5.07	1.75	4.33	2.23
arson	1466	2.00	1.34	6.36	2.73	2.55	1.75
art	643	7.50	1.44	5.08	3.13	5.75	2.13
artist	1467	7.24	0.83	5.18	2.6	5.94	1.25
ash	1468	3.91	1.7	4.73	1.95	4.82	1.08
asphalt	1469	5.00	0.45	3.36	1.91	4.64	0.81
aspire	1470	7.71	1.38	5.86	2.57	6.93	1.59
ass	1471	5.25	2.24	5.50	1.93	4.44	1.82
assassin	26	2.50	1.8	6.53	2.42	4.09	2.73
assault	27	1.78	1.35	7.70	2.32	3.09	2.98
assume	1472	4.33	1.63	5.07	1.79	3.87	1.85
assure	1473	8.08	0.9	4.58	2.47	6.33	2.74
astonished	28	6.60	1.7	6.70	2.18	5.15	1.69
astronaut	501	6.54	1.58	5.62	2.1	5.08	2.08
athlete	1474	7.55	1.04	6.36	1.86	6.27	1.19
athletics	644	6.45	2.16	5.45	2.37	6.05	2.31
atlas	1475	5.29	1.33	4.57	1.79	5.29	1.33
atom	1476	4.33	1.8	3.80	1.57	4.40	2.06
attack	1477	2.14	2.14	7.57	2.1	2.07	1.64
attain	1478	7.27	1.53	5.93	1.91	6.40	1.35
attend	1479	6.54	2.3	5.23	2.45	5.23	2.28
aunt	1480	6.71	2.05	5.07	1.64	5.43	1.65
auto	1481	5.71	1.49	4.64	2.65	5.29	1.27
autumn	29	6.47	2.27	4.34	2.55	5.25	1.97
avalanche	645	2.95	1.7	5.80	2.55	3.20	2.07
avenge	1482	4.17	0.83	5.64	1.21	6.00	1.26
avenue	646	5.82	1.44	3.86	2.17	5.73	1.45
